Version,LineCount,Threads,Run,TaskClock,Cycles,Instructions,CacheMisses,ContextSwitches,MinorFaults,MajorFaults,ElapsedTime,CPUUtilization,MaxRSS,MaxCharTime
V0,100000,4,6,298.34,444794081,1303529203,2856117,0,42640,0,0.230532916,32.35,171840,0.021867
V0,100000,4,7,296.57,438240468,1300261568,2858010,0,42640,0,0.229190559,32.35,171680,0.021385
V0,100000,4,8,281.62,440972398,1303299794,2861681,0,42640,0,0.212069773,33.20,171840,0.022141
V0,100000,4,9,294.51,437488104,1299538142,2861578,0,42641,0,0.227231393,32.40,171840,0.021429
V0,100000,8,1,305.68,468299181,1311891803,2835748,0,42647,0,0.207049473,18.45,171840,0.012838
V0,100000,8,10,302.04,462890016,1311505122,2839011,0,42647,0,0.206349593,18.30,171840,0.012506
V0,100000,8,2,310.29,470709974,1314825171,2832842,0,42649,0,0.212153742,18.28,171840,0.012759
V0,100000,8,3,305.56,461212428,1310350131,2842480,0,42649,0,0.209950116,18.19,171840,0.012341
V0,100000,8,4,303.93,467680351,1314109124,2840722,0,42648,0,0.205909128,18.45,171840,0.012788
V0,100000,8,5,306.73,473130953,1314822741,2833637,0,42648,0,0.208332985,18.40,171840,0.012914
V0,100000,8,6,310.17,466262782,1313558625,2844912,0,42648,0,0.213844530,18.13,171840,0.012527
V0,100000,8,7,293.45,465697008,1313152264,2839530,0,42648,0,0.197126337,18.61,171680,0.012484
V0,100000,8,8,306.17,470059677,1312528914,2839534,0,42649,0,0.207448477,18.45,171840,0.012846
V0,100000,8,9,322.69,452343335,1310488032,2854421,0,42650,0,0.220571732,18.29,171840,0.013082
V0,10000,1,1,27.97,38773800,128173980,109823,0,4288,0,0.028585929,97.85,18720,0.007728
V0,10000,1,10,29.40,38389281,128173951,121202,0,4286,0,0.029943219,98.19,18720,0.007822
V0,10000,1,2,28.64,38199937,128173924,112326,0,4286,0,0.029273882,97.83,18720,0.007918
V0,10000,1,3,28.49,37959765,128173951,107645,0,4287,0,0.029052308,98.06,18720,0.007630
V0,10000,1,4,28.79,37588388,128173926,108819,0,4287,0,0.029372597,98.02,18720,0.008302
V0,10000,1,5,29.74,38946834,128173923,107898,0,4287,0,0.030377729,97.90,18720,0.007686
V0,10000,1,6,32.61,38738649,128173928,114489,0,4287,0,0.033341972,97.80,18720,0.008471
V0,10000,1,7,29.53,39201536,128173937,109671,0,4286,0,0.030225702,97.70,18720,0.007726
V0,10000,1,8,32.23,38871299,128173926,123182,0,4286,0,0.032942892,97.84,18720,0.008270
V0,10000,1,9,28.29,38457919,128173923,108712,0,4285,0,0.028960436,97.68,18720,0.007649
V0,10000,16,1,72.71,132230714,168420767,186328,0,4322,0,0.024924731,18.23,20792,0.002368
V0,10000,16,10,73.16,134635049,169419799,190676,0,4323,0,0.024142796,18.94,20788,0.002354
V0,10000,16,2,72.10,133369159,168654603,190738,0,4322,0,0.023357206,19.29,20792,0.002309
V0,10000,16,3,75.55,137838091,170949770,191083,0,4321,0,0.025251176,18.70,20560,0.002523
V0,10000,16,4,76.05,139106612,171082582,184429,0,4322,0,0.025037677,18.98,20788,0.002612
V0,10000,16,5,76.67,140196722,170852329,186336,0,4323,0,0.025975530,18.45,20788,0.002599
